,,COCONUT,COCOMO2,CART,PEEKING,Knn(1),wt_knn(1),Linear Reg,wt_PEEKING
Nasa93,Anova + Blom,1,2,1,2,2,2,2,2
,Cliffs Delta,1,1,1,2,2,2,3,3
,Cliffs+Bootstrp,1,1,1,2,2,2,3,3
,A12+Bootstrp,1,1,1,2,2,2,3,3
,Lin Cliffs Delta,1,1,1,2,2,2,3,3
Coc81,Anova + Blom,1,1,2,2,2,2,2,2
,Cliffs Delta,1,1,2,2,2,2,3,4
,Cliffs+Bootstrp,1,1,2,2,2,2,3,2
,A12+Bootstrp,1,1,2,2,2,2,3,2
,Lin Cliffs Delta,1,1,2,2,2,2,3,4
Mystery1,Anova + Blom,1,1,2,2,2,2,2,3
,Cliffs Delta,1,2,3,3,2,2,3,3
,Cliffs+Bootstrp,1,1,1,1,1,1,1,1
,A12+Bootstrp,1,1,2,2,1,1,2,2
,Lin Cliffs Delta,1,1,2,2,1,1,2,2
Mystery2,Anova + Blom,3,2,1,3,2,2,3,3
,Cliffs Delta,2,1,1,2,1,1,3,2
,Cliffs+Bootstrp,2,1,1,2,1,1,3,2
,A12+Bootstrp,2,1,1,2,1,1,3,2
,Lin Cliffs Delta,2,1,1,2,1,1,3,2
albrecht,Anova + Blom,,,2,1,2,2,2,2
,Cliffs Delta,,,1,1,1,1,2,1
,Cliffs+Bootstrp,,,1,1,1,1,1,1
,A12+Bootstrp,,,1,1,1,1,1,1
,Lin Cliffs Delta,,,1,1,1,1,2,1
kemerer,Anova + Blom,,,2,1,2,2,2,2
,Cliffs Delta,,,1,1,1,1,2,1
,Cliffs+Bootstrp,,,1,1,1,1,1,1
,A12+Bootstrp,,,1,1,1,1,1,1
,Lin Cliffs Delta,,,1,1,1,1,2,1
kitchenham,Anova + Blom,,,1,2,2,2,1,2
,Cliffs Delta,,,1,1,1,1,1,2
,Cliffs+Bootstrp,,,1,1,1,1,1,2
,A12+Bootstrp,,,1,1,1,1,1,2
,Lin Cliffs Delta,,,1,2,2,2,1,3
maxwell,Anova + Blom,,,1,1,1,1,1,1
,Cliffs Delta,,,1,1,1,1,1,1
,Cliffs+Bootstrp,,,1,1,1,1,1,1
,A12+Bootstrp,,,1,1,1,1,1,1
,Lin Cliffs Delta,,,1,1,1,1,1,2
miyazaki,Anova + Blom,,,1,1,2,2,2,2
,Cliffs Delta,,,1,1,2,2,2,2
,Cliffs+Bootstrp,,,1,1,2,2,2,2
,A12+Bootstrp,,,1,1,1,1,1,1
,Lin Cliffs Delta,,,1,1,2,2,2,2
telecom,Anova + Blom,,,2,1,2,2,2,1
,Cliffs Delta,,,1,1,1,1,2,1
,Cliffs+Bootstrp,,,1,1,1,1,1,1
,A12+Bootstrp,,,1,1,1,1,1,1
,Lin Cliffs Delta,,,2,1,2,2,3,1
usp05,Anova + Blom,,,2,2,1,1,2,2
,Cliffs Delta,,,1,1,1,1,2,1
,Cliffs+Bootstrp,,,1,1,1,1,2,1
,A12+Bootstrp,,,1,1,1,1,2,1
,Lin Cliffs Delta,,,1,1,1,1,2,1
china,Anova + Blom,,,1,1,1,1,2,2
,Cliffs Delta,,,1,1,1,1,2,1
,Cliffs+Bootstrp,,,1,1,1,1,1,1
,A12+Bootstrp,,,1,1,1,1,2,1
,Lin Cliffs Delta,,,1,1,1,1,2,1
cosmic,Anova + Blom,,,2,2,2,2,2,1
,Cliffs Delta,,,1,1,1,1,2,1
,Cliffs+Bootstrp,,,1,1,1,1,1,1
,A12+Bootstrp,,,1,1,1,1,1,1
,Lin Cliffs Delta,,,1,1,1,1,2,1
isbsg10,Anova + Blom,,,2,2,1,1,2,2
,Cliffs Delta,,,1,1,1,1,2,2
,Cliffs+Bootstrp,,,1,1,1,1,1,1
,A12+Bootstrp,,,1,1,1,1,1,1
,Lin Cliffs Delta,,,2,1,1,1,2,2
,,,,,,,,,
,,,,,,,,,
,Average Rank,1,1,1,1,1,1,2,2
